company_id,risk_bucket,z_label,C_logit
CWC Energy Services Corp.,risk_external,2,-0.5984943033566211
CWC Energy Services Corp.,risk_external,3,0.06445414080797043
CWC Energy Services Corp.,risk_legal,1,0.4665995343069062
CWC Energy Services Corp.,risk_legal,2,-0.32613145835694707
CWC Energy Services Corp.,risk_legal,3,-0.14046807594996438
CWC Energy Services Corp.,risk_uncertainty,1,0.5130041353572129
CWC Energy Services Corp.,risk_uncertainty,2,-0.3059127230906079
CWC Energy Services Corp.,risk_uncertainty,3,-0.20709141226661001
CalAmp Corp.,risk_constraint,1,0.8370626124460636
CalAmp Corp.,risk_constraint,2,-0.7426314951028934
CalAmp Corp.,risk_constraint,3,-0.09443111734319357
CalAmp Corp.,risk_external,1,0.3770886888724917
CalAmp Corp.,risk_external,2,-0.6543104904351489
CalAmp Corp.,risk_external,3,0.277221801562632
CalAmp Corp.,risk_legal,1,0.8157526958456969
CalAmp Corp.,risk_legal,2,-0.8040265873936501
CalAmp Corp.,risk_legal,3,-0.01172610845206934
CalAmp Corp.,risk_uncertainty,1,1.0589194802139017
CalAmp Corp.,risk_uncertainty,2,-0.7936032197941947
CalAmp Corp.,risk_uncertainty,3,-0.2653162604197281
Callon Petroleum Co.,risk_constraint,1,0.8569159125437471
Callon Petroleum Co.,risk_constraint,2,-0.7926534181384848
Callon Petroleum Co.,risk_constraint,3,-0.06426249440528625
Callon Petroleum Co.,risk_external,1,0.3776585652096134
Callon Petroleum Co.,risk_external,2,-0.6215472511596322
Callon Petroleum Co.,risk_external,3,0.24388868594999372
Callon Petroleum Co.,risk_legal,1,0.8655100716331158
Callon Petroleum Co.,risk_legal,2,-0.8747176414805998
Callon Petroleum Co.,risk_legal,3,0.009207569847460073
Callon Petroleum Co.,risk_uncertainty,1,0.9892187591955175
Callon Petroleum Co.,risk_uncertainty,2,-0.7672626312698108
Callon Petroleum Co.,risk_uncertainty,3,-0.22195612792572628
Cambridge Bancorp,risk_constraint,1,0.5431535216734371
Cambridge Bancorp,risk_constraint,2,-0.34308810236740295
Cambridge Bancorp,risk_constraint,3,-0.20006541930604216
Cambridge Bancorp,risk_external,1,0.3496579734401928
Cambridge Bancorp,risk_external,2,-0.38205527330089795
Cambridge Bancorp,risk_external,3,0.0323972998607018
Cambridge Bancorp,risk_legal,1,0.5628032056472322
Cambridge Bancorp,risk_legal,2,-0.37727249140436797
Cambridge Bancorp,risk_legal,3,-0.18553071424287013
Cambridge Bancorp,risk_uncertainty,1,0.6606580937611106
Cambridge Bancorp,risk_uncertainty,2,-0.3730142420335103
Cambridge Bancorp,risk_uncertainty,3,-0.28764385172760676
Cano Petroleum,risk_constraint,1,0.19368065050921754
Cano Petroleum,risk_constraint,2,-0.044836799354195614
Cano Petroleum,risk_constraint,3,-0.1488438511550289
Cano Petroleum,risk_external,1,0.25163939926915085
Cano Petroleum,risk_external,2,-0.17731937572905956
Cano Petroleum,risk_external,3,-0.07432002354009684
Cano Petroleum,risk_legal,1,0.15307979541030176
Cano Petroleum,risk_legal,2,-0.05003745156495633
Cano Petroleum,risk_legal,3,-0.1030423438453557
Cano Petroleum,risk_uncertainty,1,0.21955664954349427
Cano Petroleum,risk_uncertainty,2,-0.0613485842332554
Cano Petroleum,risk_uncertainty,3,-0.15820806531024495
Carrols Restaurant Group,risk_constraint,1,0.5532136735051172
Carrols Restaurant Group,risk_constraint,2,-0.23082872325441656
Carrols Restaurant Group,risk_constraint,3,-0.3223849502507124
Carrols Restaurant Group,risk_external,1,0.5470294049533023
Carrols Restaurant Group,risk_external,2,-0.43447590831376387
Carrols Restaurant Group,risk_external,3,-0.11255349663955233
Carrols Restaurant Group,risk_legal,1,0.5273469038631847
Carrols Restaurant Group,risk_legal,2,-0.24773146922133357
Carrols Restaurant Group,risk_legal,3,-0.2796154346418622
Carrols Restaurant Group,risk_uncertainty,1,0.6077420437239712
Carrols Restaurant Group,risk_uncertainty,2,-0.23163466477946493
Carrols Restaurant Group,risk_uncertainty,3,-0.37610737894451557
Centamin Plc,risk_constraint,1,0.49415389445232105
Centamin Plc,risk_constraint,2,-0.5812515345231891
Centamin Plc,risk_constraint,3,0.08709764007084397
Centamin Plc,risk_external,1,0.07655363053906054
Centamin Plc,risk_external,2,-0.6544427101348537
Centamin Plc,risk_external,3,0.5778890795957706
Centamin Plc,risk_legal,1,0.5283948050314456
Centamin Plc,risk_legal,2,-0.701824845416502
Centamin Plc,risk_legal,3,0.17343004038503218
Centamin Plc,risk_uncertainty,1,0.5186765107436235
Centamin Plc,risk_uncertainty,2,-0.5159863128433448
Centamin Plc,risk_uncertainty,3,-0.0026901979002976195
Cineworld Group Plc,risk_constraint,1,0.4856482826138959
Cineworld Group Plc,risk_constraint,2,-0.4132350287513668
Cineworld Group Plc,risk_constraint,3,-0.07241325386254246
Cineworld Group Plc,risk_external,1,0.40636649717023915
Cineworld Group Plc,risk_external,2,-0.4667996326975377
Cineworld Group Plc,risk_external,3,0.060433135527289836
Cineworld Group Plc,risk_legal,1,0.4896446890078978
Cineworld Group Plc,risk_legal,2,-0.4572222463462082
Cineworld Group Plc,risk_legal,3,-0.03242244266170283
Cineworld Group Plc,risk_uncertainty,1,0.5315479442074639
Cineworld Group Plc,risk_uncertainty,2,-0.417897397881421
Cineworld Group Plc,risk_uncertainty,3,-0.11365054632605312
Cloud Peak Energy,risk_constraint,1,0.7725142883593854
Cloud Peak Energy,risk_constraint,2,-0.6596481625732793
Cloud Peak Energy,risk_constraint,3,-0.11286612578612254
Cloud Peak Energy,risk_external,1,0.544221211805233
Cloud Peak Energy,risk_external,2,-0.7945425159101296
Cloud Peak Energy,risk_external,3,0.25032130410487047
Cloud Peak Energy,risk_legal,1,0.7794616993782745
Cloud Peak Energy,risk_legal,2,-0.7592745565191906
Cloud Peak Energy,risk_legal,3,-0.020187142859100365
Cloud Peak Energy,risk_uncertainty,1,0.8380692844831208
Cloud Peak Energy,risk_uncertainty,2,-0.5980364963089657
Cloud Peak Energy,risk_uncertainty,3,-0.24003278817416787
Cobalt International Energy,risk_constraint,1,0.7023372585383842
Cobalt International Energy,risk_constraint,2,-0.30868062079381564
Cobalt International Energy,risk_constraint,3,-0.3936566377445815
Cobalt International Energy,risk_external,1,0.6420238554480371
Cobalt International Energy,risk_external,2,-0.3958559718435931
Cobalt International Energy,risk_external,3,-0.24616788360446912
Cobalt International Energy,risk_legal,1,0.6929452641908883
Cobalt International Energy,risk_legal,2,-0.3455901055572513
Cobalt International Energy,risk_legal,3,-0.3473551586336485
Cobalt International Energy,risk_uncertainty,1,0.6676324139726196
Cobalt International Energy,risk_uncertainty,2,-0.2527556436728905
Cobalt International Energy,risk_uncertainty,3,-0.4148767702997384
Coldwater Creek,risk_constraint,1,0.5212351059360655
Coldwater Creek,risk_constraint,2,-0.2018987167071922
Coldwater Creek,risk_constraint,3,-0.31933638922888496
Coldwater Creek,risk_external,1,0.5309664441711874
Coldwater Creek,risk_external,2,-0.4697017985344909
Coldwater Creek,risk_external,3,-0.061264645636708345
Coldwater Creek,risk_legal,1,0.5235138080391595
Coldwater Creek,risk_legal,2,-0.22891781684498885
Coldwater Creek,risk_legal,3,-0.2945959911941824
Coldwater Creek,risk_uncertainty,1,0.6362045491560717
Coldwater Creek,risk_uncertainty,2,-0.21710040959485835
Coldwater Creek,risk_uncertainty,3,-0.41910413956122367
Computer Task Group,risk_constraint,1,0.4235698287060105
Computer Task Group,risk_constraint,2,-0.6182374500387469
Computer Task Group,risk_constraint,3,0.19466762133270565
Computer Task Group,risk_external,1,-0.06501925625334704
Computer Task Group,risk_external,2,-0.6475142746846363
Computer Task Group,risk_external,3,0.7125335309379481
Computer Task Group,risk_legal,1,0.4194632749525644
Computer Task Group,risk_legal,2,-0.7265065309171986
Computer Task Group,risk_legal,3,0.30704325596460286
Computer Task Group,risk_uncertainty,1,0.5367556680476107
Computer Task Group,risk_uncertainty,2,-0.6433100327995444
Computer Task Group,risk_uncertainty,3,0.10655436475190569
Consolidated Communications Holdings,risk_constraint,1,0.7001885286519558
Consolidated Communications Holdings,risk_constraint,2,-0.7715846441073557
Consolidated Communications Holdings,risk_constraint,3,0.07139611545538439
Consolidated Communications Holdings,risk_external,1,0.2109412307138184
Consolidated Communications Holdings,risk_external,2,-0.8270750199836326
Consolidated Communications Holdings,risk_external,3,0.6161337892697936
Consolidated Communications Holdings,risk_legal,1,0.6688992397220271
Consolidated Communications Holdings,risk_legal,2,-0.8326898999909357
Consolidated Communications Holdings,risk_legal,3,0.16379066026889355
Consolidated Communications Holdings,risk_uncertainty,1,0.8400539458978401
Consolidated Communications Holdings,risk_uncertainty,2,-0.8100888473642763
Consolidated Communications Holdings,risk_uncertainty,3,-0.02996509853357776
Constar International,risk_constraint,1,0.752941650510783
Constar International,risk_constraint,2,-0.48541282656105034
Constar International,risk_constraint,3,-0.2675288239497462
Constar International,risk_external,1,0.5516743452277102
Constar International,risk_external,2,-0.6367785296572568
Constar International,risk_external,3,0.0851041844295195
Constar International,risk_legal,1,0.7758108399098615
Constar International,risk_legal,2,-0.5749860996837735
Constar International,risk_legal,3,-0.2008247402261012
Constar International,risk_uncertainty,1,0.8932996416796385
Constar International,risk_uncertainty,2,-0.48694540502309114
Constar International,risk_uncertainty,3,-0.40635423665655895
Corinthian Colleges,risk_constraint,1,0.17774233203500722
Corinthian Colleges,risk_constraint,2,-0.08819694433857962
Corinthian Colleges,risk_constraint,3,-0.08954538769643297
Corinthian Colleges,risk_external,1,0.2906390327700372
Corinthian Colleges,risk_external,2,-0.10246004800340058
