company_id,role,risk_bucket,z_label,a_mij,direct,via_prior_z1,via_prior_z2,via_prior_z3,C_logit,C_logit_ref,C_logit_delta,pmz,C_prob,z_star
Sovra,CEO,risk_constraint,1,0.2297967970371246,0.19515459397218224,0.07322882807256034,-0.024856983585625256,0.10404231307390503,0.34756875153302236,0.360122947170742,-0.012554195637719645,0.2285650478708665,-0.0022135942755810733,1
Sovra,Analyst,risk_uncertainty,1,0.2493146061897277,-0.009057502072956847,0.12849503905132942,-0.04561227031779679,0.09207691437832974,0.16590218103890553,0.1556111555302303,0.010291025508675222,0.2285650478708665,0.001814545177822327,1
Sovra,President,risk_external,1,0.3075819909572601,-0.25535235664786,0.13839945420612895,-0.054219334187897365,0.1071638728173154,-0.06400836381231301,-0.057484831101489955,-0.006523532710823052,0.2285650478708665,-0.001150249293698817,1
Sovra,Analyst,risk_legal,1,0.2384218573570251,-0.08971419814469997,0.12050540999830037,-0.04399532150816251,0.08597967415299876,0.07277556449843664,0.077886461808944,-0.005110897310507359,0.2285650478708665,-0.0009011690876976631,1
Sovra,Analyst,risk_constraint,1,0.2320954799652099,-0.041196113492903454,0.11834393175834622,-0.042844843644829496,0.08421355985066314,0.11851653447127641,0.1179155644337419,0.0006009700375345095,0.2285650478708665,0.00010596488005055262,1
Sovra,President,risk_constraint,1,0.2233679145574569,-0.13704575086978393,0.10919732711185307,-0.04070340126903222,0.07961780044381772,0.01106597541685464,0.011660674276945459,-0.0005946988600908192,0.2285650478708665,-0.00010485912681146834,1
Sovra,President,risk_uncertainty,1,0.2399596869945526,-0.1271592457817183,0.1215401629627375,-0.044147065516036504,0.08690037658073277,0.03713422824571545,0.037398354345902704,-0.0002641261001872508,0.2285650478708665,-4.657152399707633e-05,1
Spectrum Pharmaceuticals,Analyst,risk_external,1,0.3582380414009094,0.08829032368172626,0.17628291536460466,-0.06569634401972077,0.1275149851612875,0.32639188018789766,0.25516922988557333,0.07122265030232433,0.4151108483780164,0.017292420187603123,1
Spectrum Pharmaceuticals,CEO,risk_external,1,0.2095292657613754,0.03070152264801827,0.059426316956789974,-0.020557569007272538,0.09691410229898947,0.16648437289652518,0.21358401418177855,-0.047099641285253374,0.4151108483780164,-0.011435502390500079,1
Spectrum Pharmaceuticals,CEO,risk_legal,1,0.2703368067741394,0.2532125096258613,0.08509053321028871,-0.02909905237286043,0.12203164168850371,0.4312356321517933,0.3937619059121222,0.0374737262396711,0.4151108483780164,0.0090983895906841,1
Spectrum Pharmaceuticals,CEO,risk_constraint,1,0.2627331912517547,0.22312577861330432,0.08372459468189027,-0.02841969386235065,0.11895452543973052,0.39738520487257445,0.360122947170742,0.037262257701832446,0.4151108483780164,0.00904704633404816,1
Spectrum Pharmaceuticals,President,risk_external,1,0.369947612285614,-0.3071278469177572,0.1664614611077933,-0.06521289871394188,0.12889252309168486,-0.07698676143222088,-0.057484831101489955,-0.01950193033073093,0.4151108483780164,-0.0047349483951646155,1
Spectrum Pharmaceuticals,CEO,risk_uncertainty,1,0.2574007511138916,0.24715198694865176,0.08183378642302666,-0.027441934624123608,0.11801591287750696,0.4195597516250618,0.4013864094854749,0.018173342139586934,0.4151108483780164,0.00441237537717065,1
Spectrum Pharmaceuticals,Analyst,risk_uncertainty,1,0.2149725705385208,-0.007809869357592976,0.11079538928132812,-0.039329372426951906,0.07939370770800988,0.14304985520479313,0.1556111555302303,-0.012561300325437175,0.4151108483780164,-0.0030498062401231193,1
