company_id,role,z_label,C_logit
Cobalt International Energy,CEO,3,-0.613667408803646
Cobalt International Energy,CFO,1,0.43564792209196723
Cobalt International Energy,CFO,2,-0.10535664038881692
Cobalt International Energy,CFO,3,-0.330291281703163
Cobalt International Energy,Operator,1,0.2579526479326911
Cobalt International Energy,Operator,2,0.34867074093723394
Cobalt International Energy,Operator,3,-0.6066233888699474
Coldwater Creek,Analyst,1,0.6031678383587178
Coldwater Creek,Analyst,2,-0.7686546885136765
Coldwater Creek,Analyst,3,0.16548685015495157
Coldwater Creek,CEO,1,1.3640377284060579
Coldwater Creek,CEO,2,-0.7481166991033781
Coldwater Creek,CEO,3,-0.6159210293026963
Coldwater Creek,Operator,1,0.24471434053770852
Coldwater Creek,Operator,2,0.39915264593552424
Coldwater Creek,Operator,3,-0.6438669864732546
Computer Task Group,Analyst,1,0.6194592461330016
Computer Task Group,Analyst,2,-0.7788257418202121
Computer Task Group,Analyst,3,0.1593664956872035
Computer Task Group,CEO,1,1.3122072732155075
Computer Task Group,CEO,2,-0.7669276491603713
Computer Task Group,CEO,3,-0.5452796240551527
Computer Task Group,CFO,1,0.7548162361596478
Computer Task Group,CFO,2,-0.35454679479221485
Computer Task Group,CFO,3,-0.4002694413674425
Computer Task Group,CTO,1,-0.07152996731783427
Computer Task Group,CTO,2,-0.2718930355903063
Computer Task Group,CTO,3,0.3434230029081196
Computer Task Group,Chair,1,-0.21230417033366455
Computer Task Group,Chair,2,0.15633773304808968
Computer Task Group,Chair,3,0.05596643728554669
Computer Task Group,IR,1,0.18172686074316557
Computer Task Group,IR,2,-0.6877156583754223
Computer Task Group,IR,3,0.5059887976322476
Computer Task Group,Operator,1,0.24043691553169905
Computer Task Group,Operator,2,0.4170169683155547
Computer Task Group,Operator,3,-0.6574538838472754
Computer Task Group,President,1,-0.008291645409011464
Computer Task Group,President,2,-0.6275106612809349
Computer Task Group,President,3,0.6358023066899405
Computer Task Group,VP,1,-1.5017512332696725
Computer Task Group,VP,2,0.2784965512156913
Computer Task Group,VP,3,1.223254682053975
Consolidated Communications Holdings,Analyst,1,0.6235129971761869
Consolidated Communications Holdings,Analyst,2,-0.7814220157637464
Consolidated Communications Holdings,Analyst,3,0.15790901858755255
Consolidated Communications Holdings,CEO,1,1.3474040488834398
Consolidated Communications Holdings,CEO,2,-0.7530573140531109
Consolidated Communications Holdings,CEO,3,-0.5943467348303456
Consolidated Communications Holdings,CFO,1,0.6463959513402652
Consolidated Communications Holdings,CFO,2,-0.26593378091946696
Consolidated Communications Holdings,CFO,3,-0.38046217042080893
Consolidated Communications Holdings,COO,1,-0.6085302606637054
Consolidated Communications Holdings,COO,2,-0.544430304997659
Consolidated Communications Holdings,COO,3,1.1529605656613697
Consolidated Communications Holdings,IR,1,0.2081478595707374
Consolidated Communications Holdings,IR,2,-0.7000038016869312
Consolidated Communications Holdings,IR,3,0.49185594211618455
Consolidated Communications Holdings,Operator,1,0.2464579807403337
Consolidated Communications Holdings,Operator,2,0.3927908677182178
Consolidated Communications Holdings,Operator,3,-0.6392488484585733
Consolidated Communications Holdings,President,1,-0.04330563206161617
Consolidated Communications Holdings,President,2,-0.5893820617435038
Consolidated Communications Holdings,President,3,0.6326876938051149
Constar International,Analyst,1,0.6189233988949754
Constar International,Analyst,2,-0.7781213205064051
Constar International,Analyst,3,0.15919792161142277
Constar International,CEO,1,1.2679080045807072
Constar International,CEO,2,-0.7819169107845949
Constar International,CEO,3,-0.48599109379612904
Constar International,CFO,1,0.6539354118069602
Constar International,CFO,2,-0.2726318387869976
Constar International,CFO,3,-0.38130357301997325
Constar International,IR,1,0.17199201882649237
Constar International,IR,2,-0.6853407272305958
Constar International,IR,3,0.5133487084040943
Constar International,Operator,1,0.26096764321885785
Constar International,Operator,2,0.3338879363834215
Constar International,Operator,3,-0.5948555796023016
Corinthian Colleges,Analyst,1,0.5522683066349832
Corinthian Colleges,Analyst,2,-0.7356493691270773
Corinthian Colleges,Analyst,3,0.1833810624920868
Corinthian Colleges,Operator,1,0.25695128086646807
Corinthian Colleges,Operator,2,0.349622973337009
Corinthian Colleges,Operator,3,-0.6065742542034992
Crestwood Equity Partners LP,Analyst,1,0.626103005537834
Crestwood Equity Partners LP,Analyst,2,-0.7824739427287823
Crestwood Equity Partners LP,Analyst,3,0.15637093719094147
Crestwood Equity Partners LP,CEO,1,1.4316278681299162
Crestwood Equity Partners LP,CEO,2,-0.7199506526090996
Crestwood Equity Partners LP,CEO,3,-0.7116772155208333
Crestwood Equity Partners LP,CFO,1,0.7667834051376178
Crestwood Equity Partners LP,CFO,2,-0.3649246358985002
Crestwood Equity Partners LP,CFO,3,-0.40185876923912706
Crestwood Equity Partners LP,Operator,1,0.24474056888724774
Crestwood Equity Partners LP,Operator,2,0.39983911678148226
Crestwood Equity Partners LP,Operator,3,-0.6445796856687518
Denbury,Analyst,1,0.6399432167864282
Denbury,Analyst,2,-0.7912978585857466
Denbury,Analyst,3,0.15135464179931146
Denbury,CEO,1,1.4633281943937708
Denbury,CEO,2,-0.7115212881510329
Denbury,CEO,3,-0.7518069062427549
Denbury,CFO,1,0.6317543109294042
Denbury,CFO,2,-0.25684651210276543
Denbury,CFO,3,-0.3749077988266496
Denbury,Operator,1,0.24666567061995787
Denbury,Operator,2,0.39249762564934587
Denbury,Operator,3,-0.6391632962693257
Dex Liquidating Co.,Analyst,1,0.6146844600533142
Dex Liquidating Co.,Analyst,2,-0.7756001761852916
Dex Liquidating Co.,Analyst,3,0.16091571613197048
Dex Liquidating Co.,CEO,1,1.4069736103743071
Dex Liquidating Co.,CEO,2,-0.7309878512952288
Dex Liquidating Co.,CEO,3,-0.6759857590790952
Dex Liquidating Co.,CFO,1,0.7862906631344094
Dex Liquidating Co.,CFO,2,-0.3777270830192001
Dex Liquidating Co.,CFO,3,-0.40856358011521865
Dex Liquidating Co.,IR,1,0.2861615983927849
Dex Liquidating Co.,IR,2,-0.7333569941629681
Dex Liquidating Co.,IR,3,0.447195395770174
Dex Liquidating Co.,Operator,1,0.2507968771234869
Dex Liquidating Co.,Operator,2,0.3758188837893918
Dex Liquidating Co.,Operator,3,-0.6266157609129007
Dex Liquidating Co.,President,1,0.001917991710189984
Dex Liquidating Co.,President,2,-0.6395550689261913
Dex Liquidating Co.,President,3,0.6376370772159953
Diamond Offshore Drilling,Analyst,1,0.6534186722010551
Diamond Offshore Drilling,Analyst,2,-0.7999956787677236
Diamond Offshore Drilling,Analyst,3,0.14657700656666156
Diamond Offshore Drilling,CEO,1,1.4913572447251615
Diamond Offshore Drilling,CEO,2,-0.6997958346529718
Diamond Offshore Drilling,CEO,3,-0.7915614100722068
