company_id,role,risk_bucket,a_mij
Cambridge Bancorp,Analyst,risk_uncertainty,0.2383591383695602
Cambridge Bancorp,Analyst,risk_legal,0.2445617169141769
Cambridge Bancorp,Analyst,risk_constraint,0.2221391052007675
Cambridge Bancorp,Analyst,risk_external,0.2949400544166565
Cambridge Bancorp,CEO,risk_uncertainty,0.3080062568187713
Cambridge Bancorp,CEO,risk_legal,0.3060179948806762
Cambridge Bancorp,CEO,risk_constraint,0.2841122150421142
Cambridge Bancorp,CEO,risk_external,0.1018635630607605
Cano Petroleum,Analyst,risk_uncertainty,0.2519423961639404
Cano Petroleum,Analyst,risk_legal,0.2846240103244781
Cano Petroleum,Analyst,risk_constraint,0.2471069246530532
Cano Petroleum,Analyst,risk_external,0.2163266688585281
Cano Petroleum,Operator,risk_uncertainty,0.2663235068321228
Cano Petroleum,Operator,risk_legal,0.2887505888938904
Cano Petroleum,Operator,risk_constraint,0.2633512020111084
Cano Petroleum,Operator,risk_external,0.1815747320652008
Carrols Restaurant Group,Analyst,risk_uncertainty,0.253741592168808
Carrols Restaurant Group,Analyst,risk_legal,0.2512845695018768
Carrols Restaurant Group,Analyst,risk_constraint,0.2329762727022171
Carrols Restaurant Group,Analyst,risk_external,0.2619975507259369
Carrols Restaurant Group,CEO,risk_uncertainty,0.2438659220933914
Carrols Restaurant Group,CEO,risk_legal,0.2503935694694519
Carrols Restaurant Group,CEO,risk_constraint,0.251449704170227
Carrols Restaurant Group,CEO,risk_external,0.2542908787727356
Carrols Restaurant Group,Operator,risk_uncertainty,0.2123977243900299
Carrols Restaurant Group,Operator,risk_legal,0.2234168350696563
Carrols Restaurant Group,Operator,risk_constraint,0.2104059904813766
Carrols Restaurant Group,Operator,risk_external,0.3537794649600982
Centamin Plc,Analyst,risk_uncertainty,0.213455244898796
Centamin Plc,Analyst,risk_legal,0.2501980662345886
Centamin Plc,Analyst,risk_constraint,0.2369772493839264
Centamin Plc,Analyst,risk_external,0.2993694543838501
Centamin Plc,CEO,risk_uncertainty,0.2259902209043502
Centamin Plc,CEO,risk_legal,0.2584854066371918
Centamin Plc,CEO,risk_constraint,0.2520507872104645
Centamin Plc,CEO,risk_external,0.2634736001491546
Centamin Plc,CFO,risk_uncertainty,0.2129522264003753
Centamin Plc,CFO,risk_legal,0.2583353817462921
Centamin Plc,CFO,risk_constraint,0.2381398528814315
Centamin Plc,CFO,risk_external,0.2905725240707397
Centamin Plc,COO,risk_uncertainty,0.202334776520729
Centamin Plc,COO,risk_legal,0.2395774722099304
Centamin Plc,COO,risk_constraint,0.2273885756731033
Centamin Plc,COO,risk_external,0.3306991755962372
Centamin Plc,Chair,risk_uncertainty,0.2590894997119903
Centamin Plc,Chair,risk_legal,0.3367614150047302
Centamin Plc,Chair,risk_constraint,0.2960638999938965
Centamin Plc,Chair,risk_external,0.1080851778388023
Centamin Plc,Head,risk_uncertainty,0.2880406379699707
Centamin Plc,Head,risk_legal,0.2973669171333313
Centamin Plc,Head,risk_constraint,0.2888218760490417
Centamin Plc,Head,risk_external,0.1257705837488174
Centamin Plc,IR,risk_uncertainty,0.224929392337799
Centamin Plc,IR,risk_legal,0.2551532685756683
Centamin Plc,IR,risk_constraint,0.2404679059982299
Centamin Plc,IR,risk_external,0.2794494926929474
Centamin Plc,Operator,risk_uncertainty,0.2077974379062652
Centamin Plc,Operator,risk_legal,0.2619519531726837
Centamin Plc,Operator,risk_constraint,0.2423208653926849
Centamin Plc,Operator,risk_external,0.2879297435283661
Cineworld Group Plc,Analyst,risk_uncertainty,0.2440790385007858
Cineworld Group Plc,Analyst,risk_legal,0.2733039855957031
Cineworld Group Plc,Analyst,risk_constraint,0.243364468216896
Cineworld Group Plc,Analyst,risk_external,0.2392525374889373
Cineworld Group Plc,CEO,risk_uncertainty,0.2591869235038757
Cineworld Group Plc,CEO,risk_legal,0.2877190411090851
Cineworld Group Plc,CEO,risk_constraint,0.2731489241123199
Cineworld Group Plc,CEO,risk_external,0.1799450814723968
Cineworld Group Plc,CTO,risk_uncertainty,0.2445284128189087
Cineworld Group Plc,CTO,risk_legal,0.2764438092708587
Cineworld Group Plc,CTO,risk_constraint,0.2431496828794479
Cineworld Group Plc,CTO,risk_external,0.2358780354261398
Cloud Peak Energy,Analyst,risk_uncertainty,0.2024376392364502
Cloud Peak Energy,Analyst,risk_legal,0.2260683625936508
Cloud Peak Energy,Analyst,risk_constraint,0.2092603147029876
Cloud Peak Energy,Analyst,risk_external,0.3622336983680725
Cloud Peak Energy,CEO,risk_uncertainty,0.1768695265054702
Cloud Peak Energy,CEO,risk_legal,0.2026808261871338
Cloud Peak Energy,CEO,risk_constraint,0.1890134811401367
Cloud Peak Energy,CEO,risk_external,0.4314361810684204
Cloud Peak Energy,CFO,risk_uncertainty,0.2128632366657257
Cloud Peak Energy,CFO,risk_legal,0.2441283017396927
Cloud Peak Energy,CFO,risk_constraint,0.2237862795591354
Cloud Peak Energy,CFO,risk_external,0.3192221820354461
Cloud Peak Energy,IR,risk_uncertainty,0.2046073824167251
Cloud Peak Energy,IR,risk_legal,0.2342350482940673
Cloud Peak Energy,IR,risk_constraint,0.2245894968509674
Cloud Peak Energy,IR,risk_external,0.3365680873394012
Cloud Peak Energy,Operator,risk_uncertainty,0.207634836435318
Cloud Peak Energy,Operator,risk_legal,0.2310931831598281
Cloud Peak Energy,Operator,risk_constraint,0.2182143777608871
Cloud Peak Energy,Operator,risk_external,0.343057632446289
Cloud Peak Energy,President,risk_uncertainty,0.2497812956571579
Cloud Peak Energy,President,risk_legal,0.3112157583236694
Cloud Peak Energy,President,risk_constraint,0.2812385559082031
Cloud Peak Energy,President,risk_external,0.1577643752098083
Cobalt International Energy,Analyst,risk_uncertainty,0.1955162435770034
Cobalt International Energy,Analyst,risk_legal,0.2165093421936035
Cobalt International Energy,Analyst,risk_constraint,0.2107568830251693
Cobalt International Energy,Analyst,risk_external,0.3772175312042236
Cobalt International Energy,CEO,risk_uncertainty,0.2265361249446869
Cobalt International Energy,CEO,risk_legal,0.2459151446819305
Cobalt International Energy,CEO,risk_constraint,0.2550950050354004
Cobalt International Energy,CEO,risk_external,0.2724537253379822
Cobalt International Energy,CFO,risk_uncertainty,0.1307552009820938
Cobalt International Energy,CFO,risk_legal,0.2005767673254013
Cobalt International Energy,CFO,risk_constraint,0.170701190829277
Cobalt International Energy,CFO,risk_external,0.497966855764389
Cobalt International Energy,Operator,risk_uncertainty,0.177490621805191
Cobalt International Energy,Operator,risk_legal,0.2063475251197815
Cobalt International Energy,Operator,risk_constraint,0.2050284892320633
Cobalt International Energy,Operator,risk_external,0.4111333787441253
Coldwater Creek,Analyst,risk_uncertainty,0.2601869702339172
Coldwater Creek,Analyst,risk_legal,0.2496059387922287
Coldwater Creek,Analyst,risk_constraint,0.2316995412111282
Coldwater Creek,Analyst,risk_external,0.2585075497627258
Coldwater Creek,CEO,risk_uncertainty,0.253248929977417
Coldwater Creek,CEO,risk_legal,0.2438011169433593
